threshold,accuracy,precision,recall,f1
0.42,0.7747156605424322,0.7552845528455284,0.8127734033245845,0.7829751369574378
0.43,0.7751531058617673,0.7597027250206441,0.8048993875765529,0.7816482582837723
0.44,0.7712160979877515,0.7591973244147158,0.7944006999125109,0.7764001710132535
0.45,0.7716535433070866,0.7647058823529411,0.7847769028871391,0.7746113989637305
0.46,0.7729658792650919,0.7698961937716263,0.778652668416448,0.7742496737712049
0.47,0.7729658792650919,0.776595744680851,0.7664041994750657,0.7714663143989432
0.48,0.7690288713910761,0.7797998180163785,0.7497812773403325,0.7644959857270295
0.49,0.773403324584427,0.7880184331797235,0.7480314960629921,0.7675044883303411
0.5,0.7725284339457568,0.7913938260056127,0.7401574803149606,0.7649186256781193
0.51,0.7725284339457568,0.796384395813511,0.7322834645669292,0.7629899726526892
0.52,0.7755905511811023,0.8034682080924855,0.7296587926509186,0.7647867950481431
0.53,0.7782152230971129,0.8142292490118577,0.7209098862642169,0.7647331786542924
0.54,0.7795275590551181,0.8263534218590398,0.7077865266841645,0.76248821866164
0.55,0.7764654418197725,0.8291666666666667,0.6964129483814523,0.7570137898240609
0.56,0.7817147856517935,0.8447537473233405,0.6902887139107612,0.7597496389022629
0.57,0.7782152230971129,0.8494505494505494,0.6762904636920385,0.7530443253774963
0.58,0.7777777777777778,0.8547486033519553,0.6692913385826772,0.7507360157016683
0.59,0.7769028871391076,0.8625429553264605,0.6587926509186351,0.7470238095238095
0.6,0.7760279965004374,0.8698710433763188,0.6491688538932633,0.7434869739478958
0.61,0.7729658792650919,0.875,0.636920384951881,0.7372151898734177
0.62,0.7694663167104112,0.8783783783783784,0.6255468066491688,0.7307102708226878
0.63,0.7707786526684165,0.8854296388542964,0.6220472440944882,0.7307297019527236
0.64,0.7694663167104112,0.8958868894601543,0.6097987751531059,0.7256637168141593
0.65,0.7677165354330708,0.9015748031496063,0.6010498687664042,0.721259842519685
0.66,0.7624671916010499,0.910958904109589,0.5818022747156606,0.7100907634810465
0.67,0.7615923009623797,0.9152777777777777,0.5765529308836396,0.7074610842726785
0.68,0.7563429571303587,0.9173789173789174,0.5634295713035871,0.6981029810298103
0.69,0.7545931758530183,0.9217391304347826,0.5564304461942258,0.6939443535188216
0.7,0.7510936132983377,0.9270833333333334,0.5450568678915135,0.6865013774104683
0.71,0.7471566054243219,0.9299847792998478,0.5345581802274716,0.6788888888888889
0.72,0.7427821522309711,0.9315707620528771,0.5240594925634295,0.6707726763717805
0.73,0.7392825896762905,0.9348171701112877,0.5144356955380578,0.6636568848758465
0.74,0.7392825896762905,0.9418416801292407,0.510061242344707,0.6617480136208853
0.75,0.73665791776028,0.9441707717569786,0.5030621172353456,0.656392694063927
0.76,0.7331583552055994,0.9463986599664992,0.49431321084864394,0.6494252873563219
0.77,0.7283464566929134,0.946917808219178,0.48381452318460194,0.6404169079328315
0.78,0.7244094488188977,0.9476439790575916,0.47506561679790027,0.6328671328671329
0.79,0.7195975503062118,0.9514388489208633,0.46281714785651795,0.6227192466156563
0.8,0.7143482064741907,0.957089552238806,0.44881889763779526,0.6110780226325193
0.81,0.7112860892388452,0.9671179883945842,0.4374453193350831,0.6024096385542169
0.82,0.7060367454068242,0.9681908548707754,0.42607174103237094,0.5917375455650061
0.83,0.699475065616798,0.9691358024691358,0.4120734908136483,0.578268876611418
0.84,0.6924759405074365,0.9700854700854701,0.39720034995625547,0.563625077591558
0.85,0.6876640419947506,0.975609756097561,0.38495188101487315,0.5520702634880803
0.86,0.6819772528433946,0.9792626728110599,0.37182852143482065,0.5389980976537729
0.87,0.6754155730533683,0.983132530120482,0.3569553805774278,0.5237483953786907
0.88,0.6723534558180227,0.9828431372549019,0.35083114610673666,0.5170857511283043
0.89,0.6675415573053368,0.982367758186398,0.34120734908136485,0.5064935064935064
0.9,0.6618547681539807,0.9842931937172775,0.3289588801399825,0.49311475409836064
0.91,0.6570428696412949,0.986449864498645,0.3184601924759405,0.48148148148148145
0.92,0.6517935258092739,0.9887323943661972,0.30708661417322836,0.46862483311081443
0.93,0.6434820647419073,0.9939759036144579,0.2887139107611549,0.44745762711864406
0.94,0.636920384951881,0.9936908517350158,0.2755905511811024,0.4315068493150685
0.95,0.6307961504811899,0.9966777408637874,0.26246719160104987,0.4155124653739612
